{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009981670918701725 + 0.*I, 0.9996910655620084 + 0.*I, 0.9996910663951974 + 0.*I, 0.0000996407993945881 + 0.*I, 1.7507000293903732*^-7 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.00009981670918701725 + 0.*I, 0.9996910655620084 + 0.*I, 0.9996910663951974 + 0.*I, 0.0000996407993945881 + 0.*I, 1.7507000293903732*^-7 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.00009981670918701725 + 0.*I, 0.9996910655620084 + 0.*I, 0.9996910663951974 + 0.*I, 0.0000996407993945881 + 0.*I, 1.7507000293903732*^-7 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.00009981670918701725 + 0.*I, 0.9996910655620084 + 0.*I, 0.9996910663951974 + 0.*I, 0.0000996407993945881 + 0.*I, 1.7507000293903732*^-7 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.00009981670918701725 + 0.*I, 0.9996910655620084 + 0.*I, 0.9996910663951974 + 0.*I, 0.0000996407993945881 + 0.*I, 1.7507000293903732*^-7 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.00039709418240274635 + 0.*I, 0.9988205878236068 + 0.*I, 0.9988206012208068 + 0.*I, 0.0003942866837956826 + 0.*I, 2.7939077940075667*^-6 + 0.*I, 1.829869589187183*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
